combinacion;num1;num2;num3;num4;num5
12405;1;2;4;0;5
12450;1;2;4;5;0
12504;1;2;5;0;4
12540;1;2;5;4;0
14025;1;4;0;2;5
14052;1;4;0;5;2
14205;1;4;2;0;5
14250;1;4;2;5;0
14502;1;4;5;0;2
14520;1;4;5;2;0
15024;1;5;0;2;4
15042;1;5;0;4;2
15204;1;5;2;0;4
15240;1;5;2;4;0
15402;1;5;4;0;2
15420;1;5;4;2;0
20145;2;0;1;4;5
20154;2;0;1;5;4
20415;2;0;4;1;5
20451;2;0;4;5;1
20514;2;0;5;1;4
20541;2;0;5;4;1
21045;2;1;0;4;5
21054;2;1;0;5;4
21405;2;1;4;0;5
21450;2;1;4;5;0
21504;2;1;5;0;4
21540;2;1;5;4;0
24015;2;4;0;1;5
24051;2;4;0;5;1
24105;2;4;1;0;5
24150;2;4;1;5;0
24501;2;4;5;0;1
24510;2;4;5;1;0
25014;2;5;0;1;4
25041;2;5;0;4;1
25104;2;5;1;0;4
25140;2;5;1;4;0
25401;2;5;4;0;1
25410;2;5;4;1;0
40125;4;0;1;2;5
40152;4;0;1;5;2
40215;4;0;2;1;5
40251;4;0;2;5;1
40512;4;0;5;1;2
40521;4;0;5;2;1
41025;4;1;0;2;5
41052;4;1;0;5;2
41205;4;1;2;0;5
41250;4;1;2;5;0
41502;4;1;5;0;2
41520;4;1;5;2;0
42015;4;2;0;1;5
42051;4;2;0;5;1
42105;4;2;1;0;5
42150;4;2;1;5;0
42501;4;2;5;0;1
42510;4;2;5;1;0
45012;4;5;0;1;2
45021;4;5;0;2;1
45102;4;5;1;0;2
45120;4;5;1;2;0
45201;4;5;2;0;1
45210;4;5;2;1;0
50124;5;0;1;2;4
50142;5;0;1;4;2
50214;5;0;2;1;4
50241;5;0;2;4;1
50412;5;0;4;1;2
50421;5;0;4;2;1
51024;5;1;0;2;4
51042;5;1;0;4;2
51204;5;1;2;0;4
51240;5;1;2;4;0
51402;5;1;4;0;2
51420;5;1;4;2;0
52014;5;2;0;1;4
52041;5;2;0;4;1
52104;5;2;1;0;4
52140;5;2;1;4;0
52401;5;2;4;0;1
52410;5;2;4;1;0
54012;5;4;0;1;2
54021;5;4;0;2;1
54102;5;4;1;0;2
54120;5;4;1;2;0
54201;5;4;2;0;1
54210;5;4;2;1;0
01246;0;1;2;4;6
01264;0;1;2;6;4
01426;0;1;4;2;6
01462;0;1;4;6;2
01624;0;1;6;2;4
01642;0;1;6;4;2
02146;0;2;1;4;6
02164;0;2;1;6;4
02416;0;2;4;1;6
02461;0;2;4;6;1
02614;0;2;6;1;4
02641;0;2;6;4;1
04126;0;4;1;2;6
04162;0;4;1;6;2
04216;0;4;2;1;6
04261;0;4;2;6;1
04612;0;4;6;1;2
04621;0;4;6;2;1
06124;0;6;1;2;4
06142;0;6;1;4;2
06214;0;6;2;1;4
06241;0;6;2;4;1
06412;0;6;4;1;2
06421;0;6;4;2;1
10246;1;0;2;4;6
10264;1;0;2;6;4
10426;1;0;4;2;6
10462;1;0;4;6;2
10624;1;0;6;2;4
10642;1;0;6;4;2
12046;1;2;0;4;6
12064;1;2;0;6;4
12406;1;2;4;0;6
12460;1;2;4;6;0
12604;1;2;6;0;4
12640;1;2;6;4;0
14026;1;4;0;2;6
14062;1;4;0;6;2
14206;1;4;2;0;6
14260;1;4;2;6;0
14602;1;4;6;0;2
14620;1;4;6;2;0
16024;1;6;0;2;4
16042;1;6;0;4;2
16204;1;6;2;0;4
